School District,City,County,State
Knoxville Community Unit School District,Knoxville,Knox,Illinois
Komarek School District,North Riverside,Cook,Illinois
Ladd Community Consolidated School District,Ladd,Bureau,Illinois
LaGrange Highlands School District,LaGrange,Cook,Illinois
LaGrange School District,LaGrange,Cook,Illinois
LaGrange School District,LaGrange Park,Cook,Illinois
La Harpe Community School District,La Harpe,Hancock,Illinois
Lake Bluff Elementary School District,Lake Bluff,Lake,Illinois
Lake Forest Community High School District,Lake Forest,Lake,Illinois
Lake Forest School District,Lake Forest,Lake,Illinois
Lake Park Community High School District,Roselle,DuPage,Illinois
Lake Villa Community Consolidated School District,Lake Villa,Lake,Illinois
Lake Zurich Community Unit School District,Lake Zurich,Lake,Illinois
La Moille Community Unit School District,La Moille,Bureau,Illinois
Lansing School District,Lansing,Cook,Illinois
Laraway Community Consolidated School District,Joliet,Will,Illinois
LaSalle Elementary School District,LaSalle,LaSalle,Illinois
LaSalle-Peru Township High School District,LaSalle,LaSalle,Illinois
Lawrence County Community Unit District,Lawrenceville,Lawrence,Illinois
Lebanon Community Unit School District,Lebanon,St. Clair,Illinois
Leland Community Unit School District,Leland,LaSalle,Illinois
Lemont-Bromberek Combined School District,Lemont,Cook,Illinois
Lemont Township High School District,Lemont,Cook,Illinois
Lena Winslow Community Unit School District,Lena,Stephenson,Illinois
LeRoy Community Unit School District,LeRoy,McLean,Illinois
Lewistown Community Unit School District,Lewistown,Fulton,Illinois
Lexington Community Unit School District,Lexington,McLean,Illinois
Leyden Community High School District,Franklin Park,Cook,Illinois
Liberty Community Unit School District,Liberty,Adams,Illinois
Libertyville School District,Libertyville,Lake,Illinois
Lick Creek Community Consolidated School District,Lick Creek,Union,Illinois
Limestone Community High School District,Bartonville,Peoria,Illinois
Limestone Walters Community Consolidated School District,rural Kankakee County,Kankakee,Illinois
Lincoln Community High School District,Lincoln,Logan,Illinois
Lincoln Elementary School District,Lincolnwood,Cook,Illinois
Lincoln Elementary School District,Lincoln,Logan,Illinois
Lincolnshire-Prairieview School District,Lincolnshire,Lake,Illinois
Lincoln Way Community High School District,New Lenox,Will,Illinois
Lincolnwood School District,Lincolnwood,Cook,Illinois
Lindop School District,Broadview,Cook,Illinois
Lisbon Community Consolidated School District,Newark,Kendall,Illinois
Lisle Community Unit School District,Lisle,DuPage,Illinois
Litchfield Community Unit School District,Litchfield,Montgomery,Illinois
Lockport School District,Lockport,Will,Illinois
Lockport Township High School District,Lockport,Will,Illinois
Lombard School District,Lombard,DuPage,Illinois
Lostant Community Unit School District,Lostant,LaSalle,Illinois
Lowpoint-Washburn Community Unit School District,Washburn,Woodford,Illinois
Ludlow Community Consolidated School District,Ludlow,Champaign,Illinois
Lyons School District,Lyons,Cook,Illinois
Lyons Township High School District,LaGrange,Cook,Illinois
Macomb Community Unit School District,Macomb,McDonough,Illinois
Madison Community Unit School District,Madison,Madison,Illinois
Maercker School District,Westmont,DuPage,Illinois
Mahomet-Seymour Community Unit School District,Mahomet,Champaign,Illinois
Maine Township High School District,Park Ridge,Cook,Illinois
Malden Community Consolidated School District,Malden,Bureau,Illinois
Manhattan School District,Manhattan,Will,Illinois
Mannheim School District,Franklin Park,Cook,Illinois
Manteno Community Unit School District,Manteno,Kankakee,Illinois
Marengo Community High School District,Marengo,McHenry,Illinois
Marengo-Union Elementary Consolidated District,Marengo,McHenry,Illinois
Marion Community Unit School District,Marion,Williamson,Illinois
Marissa Community Unit School District,Marissa,St. Clair,Illinois
Maroa Forsyth Community Unit School District,Maroa,Macon,Illinois
Marquardt School District,Glendale Heights,DuPage,Illinois
Marseilles Elementary School District,Marseilles,LaSalle,Illinois
Marshall Community Unit School District,Marshall,Clark,Illinois
Martinsville Community Unit School District,Martinsville,Clark,Illinois
Mascoutah Community Unit School District,Mascoutah,St. Clair,Illinois
Massac Unit School District,Metropolis,Massac,Illinois
Matteson Elementary School District,Matteson,Cook,Illinois
Mattoon Community Unit School District,Mattoon,Coles,Illinois
Maywood-Melrose Park-Broadview School District,Maywood,Cook,Illinois
Mazon-Verona-Kinsman Elementary School District,Mazon,Grundy,Illinois
McClellan Community Consolidated School District,Rock Island,Rock Island,Illinois
McHenry Community Consolidated School District,McHenry,McHenry,Illinois
McHenry Community High School District,McHenry,McHenry,Illinois
McLean County Unit District,Normal,McLean,Illinois
Medinah School District,Roselle,DuPage,Illinois
Mendota Community Consolidated School District,Mendota,LaSalle,Illinois
Mendota Township High School District,Mendota,LaSalle,Illinois
Mercer County School District,Aledo,Mercer,Illinois
Meredosia-Chambersburg Community Unit School District,Meredosia,Morgan,Illinois
Meridian Community Unit School District,Mounds,Pulaski,Illinois
Meridian Community Unit School District,Stillman Valley,Ogle,Illinois
Meridian Community Unit School District,rural Macon County,Macon,Illinois
Metamora Community Consolidated School District,Metamora,Woodford,Illinois
Metamora Township High School District,Metamora,Woodford,Illinois
Midland Community Unit School District,Varna,Marshall,Illinois
Midlothian School District,Midlothian,Cook,Illinois
Midwest Central Community Unit School District,Manito,Mason,Illinois
Milford Area Public School District,Milford,Iroquois,Illinois
Millburn Community Consolidated School District,Wadsworth,Lake,Illinois
Miller Township Community Consolidated School District,rural Marion County,Marion,Illinois
Millstadt Community Consolidated School District,Millstadt,St. Clair,Illinois
Minooka Community Consolidated School District,Minooka,Grundy,Illinois
Minooka Community High School District,Minooka,Grundy,Illinois
Mokena School District,Mokena,Will,Illinois
Moline-Coal Valley Unit School District,Moline,Rock Island,Illinois
Momence Community Unit School District,Momence,Kankakee,Illinois
Monmouth-Roseville Community Unit School District,Monmouth,Warren,Illinois
Monroe School District,Monroe,Ogle,Illinois
Monticello Community Unit School District,Monticello,Piatt,Illinois
Montmorency Community Consolidated School District,Rock Falls,Whiteside,Illinois
Morris Community High School District,Morris,Grundy,Illinois
Morrison Community Unit School District,Morrison,Whiteside,Illinois
Morrisonville Community Unit School District,Morrisonville,Christian,Illinois
Morris School District,Morris,Grundy,Illinois
Morton Community Unit School District,Morton,Tazewell,Illinois
Morton Grove School District,Morton Grove,Cook,Illinois
Mount Olive Community Unit School District,Mount Olive,Macoupin,Illinois
Mount Prospect School District,Mount Prospect,Cook,Illinois
Mount Pulaski Community Unit School District,Mount Pulaski,Logan,Illinois
Mount Vernon School District,Mount Vernon,Jefferson,Illinois
Mount Vernon Township High School District,Mount Vernon,Jefferson,Illinois
Mount Zion Community Unit School District,Mount Zion,Macon,Illinois
Mulberry Grove Community Unit School District,Mulberry Grove,Bond,Illinois
Mundelein Consolidated High School District,Mundelein,Lake,Illinois
Mundelein Elementary School District,Mundelein,Lake,Illinois
Murphysboro Community Unit School District,Murphysboro,Jackson,Illinois
Naperville Community Unit School District,Naperville,DuPage,Illinois
Nashville Community Consolidated School District,Nashville,Washington,Illinois
Nashville Community High School District,Nashville,Washington,Illinois
Nauvoo-Colusa Community Unit School District,Nauvoo,Hancock,Illinois
Neoga Community Unit School District,Neoga,Cumberland,Illinois
Nettle Creek Community Consolidated School District,Morris,Grundy,Illinois
Newark Community Consolidated School District,Newark,Kendall,Illinois
Newark Community High School District,Newark,Kendall,Illinois
New Athens Community Unit School District,New Athens,St. Clair,Illinois
